qc_id,stopuid,stopid,stopname,stopnameen,stopaddres,stationid,stopdescri,updatetime,provcode,lon,lat,uniqueid,icon_url
"0",HSQ126859,"126859",五峰,Wufeng,新竹縣五峰鄉大隘村五峰132號對面,"17851",,2021-11-29,HSQ,24.63232,121.12,B1J0010104V053,./0.png
"1",HSQ135055,"135055",富興,Fuxing,新竹縣峨眉鄉富興村4鄰大同街1號,"26663",,2021-11-29,HSQ,24.68823,120.98874,B1J0010104V053,./0.png
"2",HSQ101526,"101526",峨眉衛生所,Emei Township Health Station,新竹縣峨眉鄉峨眉街5號,"29613",,2021-11-29,HSQ,24.68854,121.02151,B1J0010104V053,./0.png
"3",HSQ135102,"135102",獅山,Shishan,新竹縣峨眉鄉七星村8鄰六寮60-7號對面,"28359",,2021-11-29,HSQ,24.65595,121.02294,B1J0010104V053,./0.png
"4",HSQ126429,"126429",北埔,Beipu,新竹縣北埔鄉南興街122號,"19095",,2021-11-29,HSQ,24.70073,121.057,B1J0010104V053,./0.png
"5",HSQ135036,"135036",石井,Shijing,新竹縣峨眉鄉石井27-9號,"20297",,2021-11-29,HSQ,24.69794,121.00235,B1J0010104V053,./0.png
"6",HSQ100747,"100747",清泉口,Qingquankou,新竹縣五峰鄉桃山村五峰113-1號對面,"33840",,2021-11-29,HSQ,24.57959,121.10373,B1J0010104V053,./0.png
"7",HSQ126398,"126398",峨眉,Emei,新竹縣峨眉鄉峨眉街43號,"24578",,2021-11-29,HSQ,24.68866,121.01979,B1J0010104V053,./0.png
"8",HSQ292009,"292009",實驗中學,Experimental High School,新竹市介壽路實驗中學對面,"130685",,2021-11-29,HSQ,24.77651,121.01736,B1J0010104V053,./0.png
"9",HSQ292369,"292369",文化局,Cultural Affairs Bureau,文化中心正門左側約50公尺,"130818",,2021-11-29,HSQ,24.83021,121.01166,B1J0010104V053,./0.png
"10",HSQ22129,"22129",竹東,Zhudong,新竹縣竹東鎮東寧路三段135號,"114724",,2021-11-29,HSQ,24.739744,121.085747,B1J0010104V053,./0.png
"11",HSQ292368,"292368",仁愛國中,Jen Ai Junior High School,三民路上仁愛國中,"130819",,2021-11-29,HSQ,24.83304,121.01395,B1J0010104V053,./0.png
"12",HSQ291984,"291984",實驗中學,Experimental High School,新竹市介壽路實驗中學旁,"130683",,2021-11-29,HSQ,24.77673,121.017028,B1J0010104V053,./0.png
"13",HSQ139559,"139559",中興,Zhongxing,新竹縣峨眉鄉中盛高分58電桿對面,"17648",,2021-11-29,HSQ,24.6923,121.03204,B1J0010104V053,./0.png
"14",HSQ239568,"239568",珊珠湖,Shanzhuhu,苗栗縣頭份鎮中正三路213號對面,"107168",,2021-11-29,HSQ,24.68353,120.95802,B1J0010104V053,./0.png
"15",HSQ292360,"292360",新安,Xin'an,"科學園區新安站
（往返乘車同一站點）","130823",,2021-11-29,HSQ,24.781141,121.004411,B1J0010104V053,./0.png
"16",HSQ292376,"292376",縣政二路,Xian Zheng 2nd Rd.,竹北市縣政二路161號,"130821",,2021-11-29,HSQ,24.83098,121.01787,B1J0010104V053,./0.png
"17",HSQ292372,"292372",婦幼館,Women's Center,竹北市縣政二路275號,"130820",,2021-11-29,HSQ,24.833876,121.019256,B1J0010104V053,./0.png
"18",HSQ292378,"292378",仁愛國中,Jen Ai Junior High School,三民路上仁愛國中對面,"130832",,2021-11-29,HSQ,24.833008,121.015035,B1J0010104V053,./0.png
"19",HSQ292379,"292379",文化局,Cultural Affairs Bureau,文化中心對面,"130833",,2021-11-29,HSQ,24.83028,121.01147,B1J0010104V053,./0.png
"20",HSQ292370,"292370",台灣企銀,Taiwan Business Bank,"竹北市縣政九路128號
（台灣企銀）","130817",,2021-11-29,HSQ,24.827756,121.010267,B1J0010104V053,./0.png
"21",HSQ292375,"292375",衛生局,Public Health Bureau,竹北衛生局側門,"130822",,2021-11-29,HSQ,24.82577,121.01543,B1J0010104V053,./0.png
"22",HSQ292377,"292377",縣政府,HsinChu County Government,"竹北縣政六路上
（往返乘車同一站點）","130816",,2021-11-29,HSQ,24.82523,121.01221,B1J0010104V053,./0.png
"23",HSQ292374,"292374",金山街,Jinshan Street,科學園區路燈E11-14對面,"130824",,2021-11-29,HSQ,24.77818,121.01909,B1J0010104V053,./0.png
"24",HSQ292385,"292385",縣政二路,Xian Zheng 2nd Rd.,竹北市縣政二路518號,"130830",,2021-11-29,HSQ,24.830899,121.018087,B1J0010104V053,./0.png
"25",HSQ292381,"292381",婦幼館,Women's Center,竹北市縣政二路 620號,"130831",,2021-11-29,HSQ,24.8339,121.01955,B1J0010104V053,./0.png
"26",HSQ292517,"292517",下枋寮,Xiafangliao,新竹縣新埔鎮義民路三段620號對面,"130965",,2021-11-29,HSQ,24.84568505,121.0305716,B1J0010104V053,./0.png
